Ligand_id,Classification,Count_general,Count_diff,Ligand_name
AIC,MEMBRANE PROTEIN,4,3,"(2S,5R,6R)-6-{[(2R)-2-AMINO-2-PHENYLETHANOYL]AMINO}-3,3-DIMETHYL-7-OXO-4-THIA-1-AZABICYCLO[3.2.0]HEPTANE-2-CARBOXYLIC
ACID"
AIC,HYDROLASE,4,3,"(2S,5R,6R)-6-{[(2R)-2-AMINO-2-PHENYLETHANOYL]AMINO}-3,3-DIMETHYL-7-OXO-4-THIA-1-AZABICYCLO[3.2.0]HEPTANE-2-CARBOXYLIC
ACID"
AIC,VIRAL PROTEIN,4,3,"(2S,5R,6R)-6-{[(2R)-2-AMINO-2-PHENYLETHANOYL]AMINO}-3,3-DIMETHYL-7-OXO-4-THIA-1-AZABICYCLO[3.2.0]HEPTANE-2-CARBOXYLIC
ACID"
1RG,MEMBRANE PROTEIN,2,2,"(4R,5S)-3-({(3S,5S)-5-[(3-carboxyphenyl)carbamoyl]pyrrolidin-3-yl}sulfanyl)-5-[(1S,2R)-1-formyl-2-hydroxypropyl]-4-methyl-4,5-dihydro-1H-pyrrole-2-carboxylic acid"
1RG,HYDROLASE,2,2,"(4R,5S)-3-({(3S,5S)-5-[(3-carboxyphenyl)carbamoyl]pyrrolidin-3-yl}sulfanyl)-5-[(1S,2R)-1-formyl-2-hydroxypropyl]-4-methyl-4,5-dihydro-1H-pyrrole-2-carboxylic acid"
PRF,TRANSFERASE,11,2,7-DEAZA-7-AMINOMETHYL-GUANINE
PRF,OXIDOREDUCTASE,11,2,7-DEAZA-7-AMINOMETHYL-GUANINE
DUP,HYDROLASE,80,3,"2'-DEOXYURIDINE 5'-ALPHA,BETA-IMIDO-TRIPHOSPHATE"
DUP,TRANSFERASE,80,3,"2'-DEOXYURIDINE 5'-ALPHA,BETA-IMIDO-TRIPHOSPHATE"
DUP,VIRAL PROTEIN,80,3,"2'-DEOXYURIDINE 5'-ALPHA,BETA-IMIDO-TRIPHOSPHATE"
FDA,ISOMERASE,90,7,DIHYDROFLAVINE-ADENINE DINUCLEOTIDE
FDA,OXIDOREDUCTASE,90,7,DIHYDROFLAVINE-ADENINE DINUCLEOTIDE
FDA,TRANSFERASE,90,7,DIHYDROFLAVINE-ADENINE DINUCLEOTIDE
FDA,ALLERGEN,90,7,DIHYDROFLAVINE-ADENINE DINUCLEOTIDE
FDA,FLAVOPROTEIN,90,7,DIHYDROFLAVINE-ADENINE DINUCLEOTIDE
FDA,BIOSYNTHETIC PROTEIN,90,7,DIHYDROFLAVINE-ADENINE DINUCLEOTIDE
FDA,LYASE,90,7,DIHYDROFLAVINE-ADENINE DINUCLEOTIDE
TSS,AMINE-BINDING PROTEIN,11,7,2-(1H-INDOL-3-YL)ETHANAMINE
TSS,HYDROLASE,11,7,2-(1H-INDOL-3-YL)ETHANAMINE
TSS,ANTIBIOTIC,11,7,2-(1H-INDOL-3-YL)ETHANAMINE
TSS,FLAVOPROTEIN,11,7,2-(1H-INDOL-3-YL)ETHANAMINE
TSS,TRANSPORT PROTEIN,11,7,2-(1H-INDOL-3-YL)ETHANAMINE
TSS,LYASE,11,7,2-(1H-INDOL-3-YL)ETHANAMINE
TSS,OXIDOREDUCTASE,11,7,2-(1H-INDOL-3-YL)ETHANAMINE
BOG,TRANSFERASE,275,31,octyl beta-D-glucopyranoside
BOG,MEMBRANE PROTEIN,275,31,octyl beta-D-glucopyranoside
BOG,TRANSPORT PROTEIN,275,31,octyl beta-D-glucopyranoside
BOG,LIPID BINDING PROTEIN,275,31,octyl beta-D-glucopyranoside
BOG,OXIDOREDUCTASE,275,31,octyl beta-D-glucopyranoside
BOG,HYDROLASE,275,31,octyl beta-D-glucopyranoside
BOG,ISOMERASE,275,31,octyl beta-D-glucopyranoside
BOG,PROTEIN FIBRIL,275,31,octyl beta-D-glucopyranoside
BOG,IMMUNE SYSTEM,275,31,octyl beta-D-glucopyranoside
BOG,UNKNOWN FUNCTION,275,31,octyl beta-D-glucopyranoside
BOG,PROTEIN TRANSPORT,275,31,octyl beta-D-glucopyranoside
BOG,CELL ADHESION,275,31,octyl beta-D-glucopyranoside
BOG,PHOTOSYNTHETIC REACTION CENTER,275,31,octyl beta-D-glucopyranoside
BOG,PROTEIN BINDING,275,31,octyl beta-D-glucopyranoside
BOG,TRANSCRIPTION,275,31,octyl beta-D-glucopyranoside
BOG,VIRAL PROTEIN,275,31,octyl beta-D-glucopyranoside
